asset_id,asset_type,asset_name,category,manufacturer,installation_date,warranty_expiry,site_id,building_id,customer_id,industry,city,site_type,site_name
ASSET000018,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-03-27,2029-03-26,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000019,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-09-06,2024-09-04,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000020,ECG,ECG Machine,Diagnostic,BPL,2020-03-23,2025-03-22,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000021,Ventilator,Ventilator,Life Support,Dräger,2021-02-18,2026-02-17,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000022,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-09-25,2028-09-23,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000023,Monitor,Patient Monitor,Monitoring,Mindray,2024-03-09,2029-03-08,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000024,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-12-21,2028-12-19,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000025,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2025-01-23,2030-01-22,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000026,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-08-26,2026-08-25,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000027,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-06-12,2029-06-11,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000028,Ventilator,Ventilator,Life Support,Dräger,2023-07-01,2028-06-29,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000029,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-04-02,2028-03-31,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000030,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-12-22,2026-12-21,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000031,Monitor,Patient Monitor,Monitoring,Mindray,2023-09-29,2028-09-27,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000032,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-02-16,2026-02-15,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000033,Ventilator,Ventilator,Life Support,Dräger,2019-08-28,2024-08-26,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000034,ECG,ECG Machine,Diagnostic,BPL,2019-08-23,2024-08-21,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000035,AHU,HVAC Unit,Infrastructure,Daikin,2024-05-06,2029-05-05,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000036,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2024-09-11,2029-09-10,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000037,X-Ray,X-Ray Machine,Medical Equipment,Philips,2019-10-08,2024-10-06,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000038,Ventilator,Ventilator,Life Support,Dräger,2023-07-12,2028-07-10,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000039,AHU,HVAC Unit,Infrastructure,Daikin,2021-10-05,2026-10-04,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000040,AHU,HVAC Unit,Infrastructure,Daikin,2019-12-02,2024-11-30,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000041,AHU,HVAC Unit,Infrastructure,Daikin,2025-05-04,2030-05-03,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000042,Monitor,Patient Monitor,Monitoring,Mindray,2021-04-16,2026-04-15,SITE001,SITE001_BLDG03,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000043,Ventilator,Ventilator,Life Support,Dräger,2021-12-23,2026-12-22,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000044,X-Ray,X-Ray Machine,Medical Equipment,Philips,2022-05-13,2027-05-12,SITE001,SITE001_BLDG04,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000045,ECG,ECG Machine,Diagnostic,BPL,2019-10-25,2024-10-23,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000046,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-12-19,2030-12-18,SITE001,SITE001_BLDG01,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000047,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-01-11,2030-01-10,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000048,Defibrillator,Defibrillator,Emergency,ZOLL,2021-12-22,2026-12-21,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000049,ECG,ECG Machine,Diagnostic,BPL,2019-10-09,2024-10-07,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000050,ECG,ECG Machine,Diagnostic,BPL,2022-03-13,2027-03-12,SITE001,SITE001_BLDG02,CUST001,Healthcare,Warangal,Specialty Hospital,Warangal Specialty Hospital
ASSET000051,Defibrillator,Defibrillator,Emergency,ZOLL,2022-05-24,2027-05-23,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000052,Defibrillator,Defibrillator,Emergency,ZOLL,2022-05-11,2027-05-10,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000053,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-12-19,2026-12-18,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000054,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-03-16,2030-03-15,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000055,Monitor,Patient Monitor,Monitoring,Mindray,2022-02-28,2027-02-27,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000056,ECG,ECG Machine,Diagnostic,BPL,2021-04-13,2026-04-12,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000057,Defibrillator,Defibrillator,Emergency,ZOLL,2024-06-24,2029-06-23,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000058,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2020-01-14,2025-01-12,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000059,Monitor,Patient Monitor,Monitoring,Mindray,2019-06-30,2024-06-28,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000060,ECG,ECG Machine,Diagnostic,BPL,2020-06-19,2025-06-18,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000061,X-Ray,X-Ray Machine,Medical Equipment,Philips,2023-12-15,2028-12-13,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000062,Defibrillator,Defibrillator,Emergency,ZOLL,2019-02-09,2024-02-08,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000063,CT Scanner,CT Scanner,Medical Equipment,Siemens,2020-09-02,2025-09-01,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000064,ECG,ECG Machine,Diagnostic,BPL,2025-07-13,2030-07-12,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000065,Ultrasound,Ultrasound Machine,Imaging,Samsung,2020-06-06,2025-06-05,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000066,Monitor,Patient Monitor,Monitoring,Mindray,2023-02-02,2028-02-01,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000067,ECG,ECG Machine,Diagnostic,BPL,2021-05-10,2026-05-09,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000068,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-12-19,2027-12-18,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000069,AHU,HVAC Unit,Infrastructure,Daikin,2020-09-25,2025-09-24,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000070,X-Ray,X-Ray Machine,Medical Equipment,Philips,2020-12-26,2025-12-25,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000071,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-01-04,2026-01-03,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000072,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-10-13,2026-10-12,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000073,X-Ray,X-Ray Machine,Medical Equipment,Philips,2020-03-18,2025-03-17,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000074,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2024-04-11,2029-04-10,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000075,Ventilator,Ventilator,Life Support,Dräger,2024-02-29,2029-02-27,SITE002,SITE002_BLDG03,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000076,Monitor,Patient Monitor,Monitoring,Mindray,2021-07-21,2026-07-20,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000077,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-03-02,2026-03-01,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000078,ECG,ECG Machine,Diagnostic,BPL,2022-02-15,2027-02-14,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000079,Monitor,Patient Monitor,Monitoring,Mindray,2022-12-09,2027-12-08,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000080,Defibrillator,Defibrillator,Emergency,ZOLL,2022-09-18,2027-09-17,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000081,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-12-05,2026-12-04,SITE002,SITE002_BLDG02,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000082,AHU,HVAC Unit,Infrastructure,Daikin,2021-12-23,2026-12-22,SITE002,SITE002_BLDG01,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000083,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-09-09,2030-09-08,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000084,ECG,ECG Machine,Diagnostic,BPL,2022-07-08,2027-07-07,SITE002,SITE002_BLDG04,CUST001,Healthcare,Hyderabad,Medical Center,Hyderabad Medical Center
ASSET000085,Defibrillator,Defibrillator,Emergency,ZOLL,2020-04-18,2025-04-17,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000086,AHU,HVAC Unit,Infrastructure,Daikin,2021-02-17,2026-02-16,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000087,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2023-11-22,2028-11-20,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000088,Defibrillator,Defibrillator,Emergency,ZOLL,2025-01-14,2030-01-13,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000089,ECG,ECG Machine,Diagnostic,BPL,2023-11-02,2028-10-31,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000090,ECG,ECG Machine,Diagnostic,BPL,2025-12-27,2030-12-26,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000091,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-05-15,2027-05-14,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000092,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-08-29,2027-08-28,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000093,Monitor,Patient Monitor,Monitoring,Mindray,2025-03-20,2030-03-19,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000094,Ventilator,Ventilator,Life Support,Dräger,2023-09-19,2028-09-17,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000095,X-Ray,X-Ray Machine,Medical Equipment,Philips,2025-11-26,2030-11-25,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000096,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-02-22,2030-02-21,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000097,Monitor,Patient Monitor,Monitoring,Mindray,2022-03-21,2027-03-20,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000098,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-07-03,2030-07-02,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000099,Infusion Pump,Infusion Pump,Therapy,Baxter,2023-12-15,2028-12-13,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000100,Ventilator,Ventilator,Life Support,Dräger,2024-09-24,2029-09-23,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000101,X-Ray,X-Ray Machine,Medical Equipment,Philips,2019-12-14,2024-12-12,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000102,Defibrillator,Defibrillator,Emergency,ZOLL,2025-12-11,2030-12-10,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000103,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-08-20,2026-08-19,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000104,Ventilator,Ventilator,Life Support,Dräger,2021-03-26,2026-03-25,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000105,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2019-07-09,2024-07-07,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000106,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-11-08,2030-11-07,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000107,Infusion Pump,Infusion Pump,Therapy,Baxter,2023-08-25,2028-08-23,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000108,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-07-17,2029-07-16,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000109,Ventilator,Ventilator,Life Support,Dräger,2020-08-27,2025-08-26,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000110,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-10-08,2028-10-06,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000111,X-Ray,X-Ray Machine,Medical Equipment,Philips,2024-10-22,2029-10-21,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000112,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2025-04-02,2030-04-01,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000113,CT Scanner,CT Scanner,Medical Equipment,Siemens,2024-02-13,2029-02-11,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000114,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-12-15,2029-12-14,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000115,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-11-14,2030-11-13,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000116,Defibrillator,Defibrillator,Emergency,ZOLL,2024-01-01,2028-12-30,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000117,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-01-18,2029-01-16,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000118,Ventilator,Ventilator,Life Support,Dräger,2022-02-09,2027-02-08,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000119,Ventilator,Ventilator,Life Support,Dräger,2022-01-29,2027-01-28,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000120,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-03-16,2027-03-15,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000121,Monitor,Patient Monitor,Monitoring,Mindray,2022-10-07,2027-10-06,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000122,Defibrillator,Defibrillator,Emergency,ZOLL,2019-11-27,2024-11-25,SITE003,SITE003_BLDG01,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000123,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-08-05,2026-08-04,SITE003,SITE003_BLDG02,CUST001,Healthcare,Visakhapatnam,Specialty Hospital,Visakhapatnam Specialty Hospital
ASSET000124,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-05-26,2026-05-25,SITE004,SITE004_BLDG01,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000125,Ultrasound,Ultrasound Machine,Imaging,Samsung,2023-07-28,2028-07-26,SITE004,SITE004_BLDG03,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000126,Defibrillator,Defibrillator,Emergency,ZOLL,2024-03-23,2029-03-22,SITE004,SITE004_BLDG04,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000127,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-04-27,2026-04-26,SITE004,SITE004_BLDG04,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000128,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-07-20,2030-07-19,SITE004,SITE004_BLDG01,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000129,AHU,HVAC Unit,Infrastructure,Daikin,2023-04-08,2028-04-06,SITE004,SITE004_BLDG04,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000130,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2022-12-11,2027-12-10,SITE004,SITE004_BLDG03,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000131,Ultrasound,Ultrasound Machine,Imaging,Samsung,2023-09-13,2028-09-11,SITE004,SITE004_BLDG02,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000132,Infusion Pump,Infusion Pump,Therapy,Baxter,2021-06-17,2026-06-16,SITE004,SITE004_BLDG03,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000133,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-06-12,2029-06-11,SITE004,SITE004_BLDG01,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000134,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-10-08,2027-10-07,SITE004,SITE004_BLDG04,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
ASSET000135,X-Ray,X-Ray Machine,Medical Equipment,Philips,2024-03-29,2029-03-28,SITE004,SITE004_BLDG02,CUST001,Healthcare,Visakhapatnam,Central Hospital,Visakhapatnam Central Hospital
