asset_id,site_id,building_id,customer_id,asset_type,asset_name,category,manufacturer,installation_date,warranty_expiry
ASSET000079,SITE002,SITE002_BLDG04,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2022-12-09,2027-12-08
ASSET000080,SITE002,SITE002_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2022-09-18,2027-09-17
ASSET000081,SITE002,SITE002_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-12-05,2026-12-04
ASSET000082,SITE002,SITE002_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2021-12-23,2026-12-22
ASSET000083,SITE002,SITE002_BLDG04,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-09-09,2030-09-08
ASSET000084,SITE002,SITE002_BLDG04,CUST001,ECG,ECG Machine,Diagnostic,BPL,2022-07-08,2027-07-07
ASSET000085,SITE003,SITE003_BLDG02,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2020-04-18,2025-04-17
ASSET000086,SITE003,SITE003_BLDG02,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2021-02-17,2026-02-16
ASSET000087,SITE003,SITE003_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2023-11-22,2028-11-20
ASSET000088,SITE003,SITE003_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2025-01-14,2030-01-13
ASSET000089,SITE003,SITE003_BLDG01,CUST001,ECG,ECG Machine,Diagnostic,BPL,2023-11-02,2028-10-31
ASSET000090,SITE003,SITE003_BLDG02,CUST001,ECG,ECG Machine,Diagnostic,BPL,2025-12-27,2030-12-26
ASSET000091,SITE003,SITE003_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-05-15,2027-05-14
ASSET000092,SITE003,SITE003_BLDG02,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-08-29,2027-08-28
ASSET000093,SITE003,SITE003_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2025-03-20,2030-03-19
ASSET000094,SITE003,SITE003_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2023-09-19,2028-09-17
ASSET000095,SITE003,SITE003_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2025-11-26,2030-11-25
ASSET000096,SITE003,SITE003_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-02-22,2030-02-21
ASSET000097,SITE003,SITE003_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2022-03-21,2027-03-20
ASSET000098,SITE003,SITE003_BLDG02,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-07-03,2030-07-02
ASSET000099,SITE003,SITE003_BLDG02,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2023-12-15,2028-12-13
ASSET000100,SITE003,SITE003_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2024-09-24,2029-09-23
ASSET000101,SITE003,SITE003_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2019-12-14,2024-12-12
ASSET000102,SITE003,SITE003_BLDG02,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2025-12-11,2030-12-10
ASSET000103,SITE003,SITE003_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-08-20,2026-08-19
ASSET000104,SITE003,SITE003_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2021-03-26,2026-03-25
ASSET000105,SITE003,SITE003_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2019-07-09,2024-07-07
ASSET000106,SITE003,SITE003_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-11-08,2030-11-07
ASSET000107,SITE003,SITE003_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2023-08-25,2028-08-23
ASSET000108,SITE003,SITE003_BLDG02,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-07-17,2029-07-16
ASSET000109,SITE003,SITE003_BLDG01,CUST001,Ventilator,Ventilator,Life Support,Dräger,2020-08-27,2025-08-26
ASSET000110,SITE003,SITE003_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-10-08,2028-10-06
ASSET000111,SITE003,SITE003_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2024-10-22,2029-10-21
ASSET000112,SITE003,SITE003_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2025-04-02,2030-04-01
ASSET000113,SITE003,SITE003_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2024-02-13,2029-02-11
ASSET000114,SITE003,SITE003_BLDG02,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-12-15,2029-12-14
ASSET000115,SITE003,SITE003_BLDG02,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2025-11-14,2030-11-13
ASSET000116,SITE003,SITE003_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2024-01-01,2028-12-30
ASSET000117,SITE003,SITE003_BLDG02,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-01-18,2029-01-16
ASSET000118,SITE003,SITE003_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2022-02-09,2027-02-08
ASSET000119,SITE003,SITE003_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2022-01-29,2027-01-28
ASSET000120,SITE003,SITE003_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-03-16,2027-03-15
ASSET000121,SITE003,SITE003_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2022-10-07,2027-10-06
ASSET000122,SITE003,SITE003_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2019-11-27,2024-11-25
ASSET000123,SITE003,SITE003_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-08-05,2026-08-04
ASSET000124,SITE004,SITE004_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2021-05-26,2026-05-25
ASSET000125,SITE004,SITE004_BLDG03,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2023-07-28,2028-07-26
ASSET000126,SITE004,SITE004_BLDG04,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2024-03-23,2029-03-22
ASSET000127,SITE004,SITE004_BLDG04,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-04-27,2026-04-26
ASSET000128,SITE004,SITE004_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-07-20,2030-07-19
ASSET000129,SITE004,SITE004_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2023-04-08,2028-04-06
ASSET000130,SITE004,SITE004_BLDG03,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2022-12-11,2027-12-10
ASSET000131,SITE004,SITE004_BLDG02,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2023-09-13,2028-09-11
ASSET000132,SITE004,SITE004_BLDG03,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2021-06-17,2026-06-16
ASSET000133,SITE004,SITE004_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-06-12,2029-06-11
ASSET000134,SITE004,SITE004_BLDG04,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2022-10-08,2027-10-07
ASSET000135,SITE004,SITE004_BLDG02,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2024-03-29,2029-03-28
ASSET000136,SITE004,SITE004_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2024-12-27,2029-12-26
ASSET000137,SITE004,SITE004_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-08-21,2030-08-20
ASSET000138,SITE004,SITE004_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-10-22,2028-10-20
ASSET000139,SITE004,SITE004_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2021-01-14,2026-01-13
ASSET000140,SITE004,SITE004_BLDG03,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2023-04-02,2028-03-31
ASSET000141,SITE004,SITE004_BLDG03,CUST001,Ventilator,Ventilator,Life Support,Dräger,2024-02-06,2029-02-04
ASSET000142,SITE004,SITE004_BLDG03,CUST001,ECG,ECG Machine,Diagnostic,BPL,2023-04-02,2028-03-31
ASSET000143,SITE004,SITE004_BLDG01,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-10-30,2026-10-29
ASSET000144,SITE004,SITE004_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2019-03-21,2024-03-19
ASSET000145,SITE004,SITE004_BLDG01,CUST001,ECG,ECG Machine,Diagnostic,BPL,2021-07-07,2026-07-06
ASSET000146,SITE004,SITE004_BLDG02,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2019-05-08,2024-05-06
ASSET000147,SITE004,SITE004_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2019-03-25,2024-03-23
ASSET000148,SITE004,SITE004_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2020-06-01,2025-05-31
ASSET000149,SITE004,SITE004_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-04-29,2030-04-28
ASSET000150,SITE004,SITE004_BLDG03,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2021-11-15,2026-11-14
ASSET000151,SITE004,SITE004_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2025-10-17,2030-10-16
ASSET000152,SITE004,SITE004_BLDG01,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2022-06-28,2027-06-27
ASSET000153,SITE004,SITE004_BLDG03,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2019-04-16,2024-04-14
ASSET000154,SITE004,SITE004_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2023-03-18,2028-03-16
ASSET000155,SITE004,SITE004_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2019-11-08,2024-11-06
ASSET000156,SITE004,SITE004_BLDG01,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-05-20,2027-05-19
ASSET000157,SITE004,SITE004_BLDG03,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2019-06-18,2024-06-16
ASSET000158,SITE004,SITE004_BLDG03,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2023-10-21,2028-10-19
ASSET000159,SITE004,SITE004_BLDG03,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2024-09-03,2029-09-02
ASSET000160,SITE004,SITE004_BLDG04,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2023-09-17,2028-09-15
ASSET000161,SITE004,SITE004_BLDG03,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2023-11-11,2028-11-09
ASSET000162,SITE004,SITE004_BLDG04,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2020-09-18,2025-09-17
ASSET000163,SITE004,SITE004_BLDG03,CUST001,X-Ray,X-Ray Machine,Medical Equipment,Philips,2024-11-07,2029-11-06
ASSET000164,SITE004,SITE004_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2025-01-13,2030-01-12
ASSET000165,SITE004,SITE004_BLDG03,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2023-11-20,2028-11-18
ASSET000166,SITE005,SITE005_BLDG03,CUST001,Ventilator,Ventilator,Life Support,Dräger,2019-12-21,2024-12-19
ASSET000167,SITE005,SITE005_BLDG04,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2021-09-25,2026-09-24
ASSET000168,SITE005,SITE005_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2025-11-04,2030-11-03
ASSET000169,SITE005,SITE005_BLDG04,CUST001,ECG,ECG Machine,Diagnostic,BPL,2019-04-28,2024-04-26
ASSET000170,SITE005,SITE005_BLDG04,CUST001,ECG,ECG Machine,Diagnostic,BPL,2021-01-14,2026-01-13
ASSET000171,SITE005,SITE005_BLDG03,CUST001,Ventilator,Ventilator,Life Support,Dräger,2022-12-24,2027-12-23
ASSET000172,SITE005,SITE005_BLDG05,CUST001,ECG,ECG Machine,Diagnostic,BPL,2022-02-19,2027-02-18
ASSET000173,SITE005,SITE005_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2025-03-26,2030-03-25
ASSET000174,SITE005,SITE005_BLDG01,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2021-02-21,2026-02-20
ASSET000175,SITE005,SITE005_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2023-07-23,2028-07-21
ASSET000176,SITE005,SITE005_BLDG04,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2021-09-11,2026-09-10
ASSET000177,SITE005,SITE005_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2024-01-10,2029-01-08
ASSET000178,SITE005,SITE005_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2022-04-20,2027-04-19
ASSET000179,SITE005,SITE005_BLDG03,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2021-09-23,2026-09-22
ASSET000180,SITE005,SITE005_BLDG04,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2023-02-20,2028-02-19
ASSET000181,SITE005,SITE005_BLDG03,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2024-12-14,2029-12-13
ASSET000182,SITE005,SITE005_BLDG03,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-03-04,2030-03-03
ASSET000183,SITE005,SITE005_BLDG03,CUST001,ECG,ECG Machine,Diagnostic,BPL,2024-02-02,2029-01-31
ASSET000184,SITE005,SITE005_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2021-10-26,2026-10-25
ASSET000185,SITE005,SITE005_BLDG03,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2021-02-27,2026-02-26
ASSET000186,SITE005,SITE005_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2025-01-03,2030-01-02
ASSET000187,SITE005,SITE005_BLDG04,CUST001,Ventilator,Ventilator,Life Support,Dräger,2021-06-05,2026-06-04
ASSET000188,SITE005,SITE005_BLDG05,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2025-08-11,2030-08-10
ASSET000189,SITE005,SITE005_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2022-03-05,2027-03-04
ASSET000190,SITE005,SITE005_BLDG02,CUST001,Ventilator,Ventilator,Life Support,Dräger,2022-04-28,2027-04-27
ASSET000191,SITE005,SITE005_BLDG03,CUST001,ECG,ECG Machine,Diagnostic,BPL,2021-01-04,2026-01-03
ASSET000192,SITE005,SITE005_BLDG02,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2024-12-27,2029-12-26
ASSET000193,SITE005,SITE005_BLDG01,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2019-07-06,2024-07-04
ASSET000194,SITE005,SITE005_BLDG02,CUST001,Defibrillator,Defibrillator,Emergency,ZOLL,2022-04-11,2027-04-10
ASSET000195,SITE005,SITE005_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2020-02-25,2025-02-23
ASSET000196,SITE006,SITE006_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2024-04-06,2029-04-05
ASSET000197,SITE006,SITE006_BLDG01,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2022-10-27,2027-10-26
ASSET000198,SITE006,SITE006_BLDG02,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2021-10-31,2026-10-30
ASSET000199,SITE006,SITE006_BLDG02,CUST001,CT Scanner,CT Scanner,Medical Equipment,Siemens,2019-09-25,2024-09-23
ASSET000200,SITE006,SITE006_BLDG03,CUST001,Infusion Pump,Infusion Pump,Therapy,Baxter,2019-10-31,2024-10-29
ASSET000201,SITE006,SITE006_BLDG01,CUST001,MRI,MRI Scanner,Medical Equipment,GE Healthcare,2020-09-13,2025-09-12
ASSET000202,SITE006,SITE006_BLDG01,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2022-05-29,2027-05-28
ASSET000203,SITE006,SITE006_BLDG03,CUST001,Ventilator,Ventilator,Life Support,Dräger,2020-04-30,2025-04-29
ASSET000204,SITE006,SITE006_BLDG03,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2025-10-19,2030-10-18
ASSET000205,SITE006,SITE006_BLDG03,CUST001,AHU,HVAC Unit,Infrastructure,Daikin,2021-07-13,2026-07-12
ASSET000206,SITE006,SITE006_BLDG02,CUST001,Ultrasound,Ultrasound Machine,Imaging,Samsung,2024-01-20,2029-01-18
ASSET000207,SITE006,SITE006_BLDG02,CUST001,Monitor,Patient Monitor,Monitoring,Mindray,2025-08-07,2030-08-06
