event_id,timestamp,asset_id,event_type,severity,message
EVT000027,2025-07-01 13:15:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000028,2025-07-01 14:10:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000029,2025-07-01 14:30:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000030,2025-07-01 15:15:00,ASSET000002,Warning,Medium,Defibrillator has been shut down.
EVT000031,2025-07-01 15:20:00,ASSET000002,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000032,2025-07-01 08:00:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000033,2025-07-01 08:20:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000034,2025-07-01 08:40:00,ASSET000003,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000035,2025-07-01 09:05:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000036,2025-07-01 09:55:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000037,2025-07-01 10:10:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000038,2025-07-01 10:25:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000039,2025-07-01 11:00:00,ASSET000003,Alarm,Medium,Abnormal power consumption detected in Ventilator.
EVT000040,2025-07-01 11:05:00,ASSET000003,Alarm,Medium,Abnormal power consumption detected in Ventilator.
EVT000041,2025-07-01 11:15:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000042,2025-07-01 11:45:00,ASSET000003,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000043,2025-07-01 12:35:00,ASSET000003,Alarm,High,High temperature detected in Ventilator.
EVT000044,2025-07-01 12:40:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000045,2025-07-01 13:30:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000046,2025-07-01 13:35:00,ASSET000003,Fault,High,Excessive vibration detected in Ventilator.
EVT000047,2025-07-01 13:50:00,ASSET000003,Alarm,Medium,Abnormal power consumption detected in Ventilator.
EVT000048,2025-07-01 14:35:00,ASSET000003,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000049,2025-07-01 14:50:00,ASSET000003,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000050,2025-07-01 15:50:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000051,2025-07-01 16:10:00,ASSET000003,Warning,Medium,Ventilator has been shut down.
EVT000052,2025-07-01 16:15:00,ASSET000003,Fault,High,Excessive vibration detected in Ventilator.
EVT000053,2025-07-01 08:00:00,ASSET000004,Warning,Medium,Patient Monitor has been shut down.
EVT000054,2025-07-01 08:10:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000055,2025-07-01 08:55:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000056,2025-07-01 09:15:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000057,2025-07-01 09:55:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000058,2025-07-01 10:30:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000059,2025-07-01 11:35:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000060,2025-07-01 13:10:00,ASSET000004,Warning,Medium,Patient Monitor has been shut down.
EVT000061,2025-07-01 13:20:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000062,2025-07-01 13:25:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000063,2025-07-01 14:05:00,ASSET000004,Warning,Medium,Patient Monitor has been shut down.
EVT000064,2025-07-01 15:40:00,ASSET000004,Warning,Medium,Patient Monitor has been shut down.
EVT000065,2025-07-01 15:45:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000066,2025-07-01 15:55:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000067,2025-07-01 16:05:00,ASSET000004,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000068,2025-07-01 08:15:00,ASSET000005,Alarm,High,High temperature detected in Infusion Pump.
EVT000069,2025-07-01 08:20:00,ASSET000005,Warning,Medium,Infusion Pump has been shut down.
EVT000070,2025-07-01 08:30:00,ASSET000005,Warning,Medium,Infusion Pump has been shut down.
EVT000071,2025-07-01 08:35:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000072,2025-07-01 08:50:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000073,2025-07-01 09:30:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000074,2025-07-01 09:35:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000075,2025-07-01 10:25:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000076,2025-07-01 12:20:00,ASSET000005,Warning,Medium,Infusion Pump has been shut down.
EVT000077,2025-07-01 14:15:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000078,2025-07-01 14:55:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000079,2025-07-01 15:45:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000080,2025-07-01 15:50:00,ASSET000005,Warning,Low,Infusion Pump is undergoing scheduled maintenance.
EVT000081,2025-07-01 08:05:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000082,2025-07-01 08:50:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000083,2025-07-01 09:30:00,ASSET000006,Alarm,High,High temperature detected in CT Scanner.
EVT000084,2025-07-01 11:10:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000085,2025-07-01 11:15:00,ASSET000006,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000086,2025-07-01 11:45:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000087,2025-07-01 12:10:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000088,2025-07-01 12:30:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000089,2025-07-01 12:55:00,ASSET000006,Warning,Medium,CT Scanner has been shut down.
EVT000090,2025-07-01 13:05:00,ASSET000006,Alarm,High,High temperature detected in CT Scanner.
EVT000091,2025-07-01 13:35:00,ASSET000006,Alarm,High,High temperature detected in CT Scanner.
EVT000092,2025-07-01 16:00:00,ASSET000006,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000093,2025-07-01 08:35:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000094,2025-07-01 09:05:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000095,2025-07-01 10:05:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000096,2025-07-01 11:30:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000097,2025-07-01 11:40:00,ASSET000007,Fault,High,Excessive vibration detected in CT Scanner.
EVT000098,2025-07-01 11:50:00,ASSET000007,Warning,Medium,CT Scanner has been shut down.
EVT000099,2025-07-01 11:55:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000100,2025-07-01 12:40:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000101,2025-07-01 13:20:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000102,2025-07-01 13:30:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000103,2025-07-01 13:40:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000104,2025-07-01 14:00:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000105,2025-07-01 14:10:00,ASSET000007,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000106,2025-07-01 14:15:00,ASSET000007,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000107,2025-07-01 08:30:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000108,2025-07-01 08:35:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000109,2025-07-01 08:55:00,ASSET000008,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000110,2025-07-01 09:15:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000111,2025-07-01 09:30:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000112,2025-07-01 09:35:00,ASSET000008,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000113,2025-07-01 09:50:00,ASSET000008,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000114,2025-07-01 09:55:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000115,2025-07-01 10:15:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000116,2025-07-01 10:30:00,ASSET000008,Alarm,High,High temperature detected in HVAC Unit.
EVT000117,2025-07-01 10:35:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000118,2025-07-01 11:20:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000119,2025-07-01 11:50:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000120,2025-07-01 11:55:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000121,2025-07-01 12:00:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000122,2025-07-01 12:10:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000123,2025-07-01 12:35:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000124,2025-07-01 12:50:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000125,2025-07-01 12:55:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000126,2025-07-01 13:30:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000127,2025-07-01 13:35:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000128,2025-07-01 13:40:00,ASSET000008,Warning,Medium,HVAC Unit has been shut down.
EVT000129,2025-07-01 14:05:00,ASSET000008,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000130,2025-07-01 14:45:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000131,2025-07-01 15:35:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000132,2025-07-01 15:40:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000133,2025-07-01 15:45:00,ASSET000008,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000134,2025-07-01 08:10:00,ASSET000009,Warning,Medium,HVAC Unit has been shut down.
EVT000135,2025-07-01 08:25:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000136,2025-07-01 08:30:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000137,2025-07-01 08:50:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000138,2025-07-01 09:25:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000139,2025-07-01 09:30:00,ASSET000009,Warning,Medium,HVAC Unit has been shut down.
EVT000140,2025-07-01 09:40:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000141,2025-07-01 10:05:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000142,2025-07-01 11:15:00,ASSET000009,Fault,High,Excessive vibration detected in HVAC Unit.
EVT000143,2025-07-01 11:30:00,ASSET000009,Fault,High,Excessive vibration detected in HVAC Unit.
EVT000144,2025-07-01 11:55:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000145,2025-07-01 12:05:00,ASSET000009,Alarm,Medium,Abnormal power consumption detected in HVAC Unit.
EVT000146,2025-07-01 12:15:00,ASSET000009,Fault,High,Excessive vibration detected in HVAC Unit.
EVT000147,2025-07-01 13:55:00,ASSET000009,Fault,High,Excessive vibration detected in HVAC Unit.
EVT000148,2025-07-01 14:15:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000149,2025-07-01 14:40:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000150,2025-07-01 15:15:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000151,2025-07-01 15:20:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000152,2025-07-01 15:40:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000153,2025-07-01 15:50:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000154,2025-07-01 16:00:00,ASSET000009,Warning,Low,HVAC Unit is undergoing scheduled maintenance.
EVT000155,2025-07-01 08:15:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000156,2025-07-01 08:50:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000157,2025-07-01 09:00:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000158,2025-07-01 09:20:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000159,2025-07-01 09:30:00,ASSET000010,Fault,High,Excessive vibration detected in CT Scanner.
EVT000160,2025-07-01 09:55:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000161,2025-07-01 10:55:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000162,2025-07-01 11:40:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000163,2025-07-01 12:00:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000164,2025-07-01 12:10:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000165,2025-07-01 13:00:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000166,2025-07-01 13:20:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000167,2025-07-01 13:50:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000168,2025-07-01 14:45:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000169,2025-07-01 15:40:00,ASSET000010,Warning,Medium,CT Scanner has been shut down.
EVT000170,2025-07-01 16:00:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000171,2025-07-01 16:05:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000172,2025-07-01 16:10:00,ASSET000010,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000173,2025-07-01 08:05:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000174,2025-07-01 08:20:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000175,2025-07-01 08:50:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000176,2025-07-01 08:55:00,ASSET000011,Warning,Medium,CT Scanner has been shut down.
EVT000177,2025-07-01 09:05:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000178,2025-07-01 09:15:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000179,2025-07-01 09:20:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000180,2025-07-01 09:30:00,ASSET000011,Fault,High,Excessive vibration detected in CT Scanner.
EVT000181,2025-07-01 09:40:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000182,2025-07-01 09:45:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000183,2025-07-01 10:50:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000184,2025-07-01 10:55:00,ASSET000011,Warning,Medium,CT Scanner has been shut down.
EVT000185,2025-07-01 11:00:00,ASSET000011,Warning,Medium,CT Scanner has been shut down.
EVT000186,2025-07-01 11:25:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000187,2025-07-01 11:35:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000188,2025-07-01 12:00:00,ASSET000011,Warning,Medium,CT Scanner has been shut down.
EVT000189,2025-07-01 12:15:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000190,2025-07-01 12:40:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000191,2025-07-01 12:45:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000192,2025-07-01 12:50:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000193,2025-07-01 13:05:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000194,2025-07-01 13:15:00,ASSET000011,Fault,High,Excessive vibration detected in CT Scanner.
EVT000195,2025-07-01 13:30:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000196,2025-07-01 13:35:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000197,2025-07-01 13:40:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000198,2025-07-01 14:05:00,ASSET000011,Warning,Medium,CT Scanner has been shut down.
EVT000199,2025-07-01 15:15:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000200,2025-07-01 15:45:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000201,2025-07-01 15:55:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000202,2025-07-01 16:00:00,ASSET000011,Alarm,Medium,Abnormal power consumption detected in CT Scanner.
EVT000203,2025-07-01 16:05:00,ASSET000011,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000204,2025-07-01 08:10:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000205,2025-07-01 08:15:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000206,2025-07-01 08:20:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000207,2025-07-01 11:00:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000208,2025-07-01 11:20:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000209,2025-07-01 11:25:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000210,2025-07-01 11:30:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000211,2025-07-01 12:00:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000212,2025-07-01 12:20:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000213,2025-07-01 12:45:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000214,2025-07-01 13:20:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000215,2025-07-01 13:25:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000216,2025-07-01 13:50:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000217,2025-07-01 14:30:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000218,2025-07-01 14:55:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000219,2025-07-01 15:15:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000220,2025-07-01 15:30:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000221,2025-07-01 15:45:00,ASSET000012,Warning,Low,CT Scanner is undergoing scheduled maintenance.
EVT000222,2025-07-01 16:00:00,ASSET000012,Warning,Medium,CT Scanner has been shut down.
EVT000223,2025-07-01 08:00:00,ASSET000013,Alarm,High,High temperature detected in Patient Monitor.
EVT000224,2025-07-01 08:05:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000225,2025-07-01 08:50:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000226,2025-07-01 09:35:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000227,2025-07-01 10:20:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000228,2025-07-01 10:35:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000229,2025-07-01 11:35:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000230,2025-07-01 11:40:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000231,2025-07-01 11:50:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000232,2025-07-01 12:10:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000233,2025-07-01 12:20:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000234,2025-07-01 12:40:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000235,2025-07-01 12:55:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000236,2025-07-01 14:15:00,ASSET000013,Alarm,High,High temperature detected in Patient Monitor.
EVT000237,2025-07-01 14:40:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000238,2025-07-01 15:00:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000239,2025-07-01 15:10:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000240,2025-07-01 15:15:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000241,2025-07-01 15:45:00,ASSET000013,Warning,Low,Patient Monitor is undergoing scheduled maintenance.
EVT000242,2025-07-01 16:00:00,ASSET000013,Warning,Medium,Patient Monitor has been shut down.
EVT000243,2025-07-01 08:00:00,ASSET000014,Warning,Medium,Defibrillator has been shut down.
EVT000244,2025-07-01 08:45:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000245,2025-07-01 08:50:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000246,2025-07-01 09:10:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000247,2025-07-01 09:15:00,ASSET000014,Warning,Medium,Defibrillator has been shut down.
EVT000248,2025-07-01 09:45:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000249,2025-07-01 11:55:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000250,2025-07-01 12:10:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000251,2025-07-01 12:15:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000252,2025-07-01 13:25:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000253,2025-07-01 14:30:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000254,2025-07-01 15:00:00,ASSET000014,Warning,Low,Defibrillator is undergoing scheduled maintenance.
EVT000255,2025-07-01 15:05:00,ASSET000014,Warning,Medium,Defibrillator has been shut down.
EVT000256,2025-07-01 08:15:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000257,2025-07-01 08:30:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000258,2025-07-01 10:30:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000259,2025-07-01 11:30:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000260,2025-07-01 11:35:00,ASSET000015,Fault,High,Excessive vibration detected in Ventilator.
EVT000261,2025-07-01 12:55:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000262,2025-07-01 13:30:00,ASSET000015,Fault,High,Excessive vibration detected in Ventilator.
EVT000263,2025-07-01 13:35:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000264,2025-07-01 13:40:00,ASSET000015,Warning,Medium,Ventilator has been shut down.
EVT000265,2025-07-01 13:45:00,ASSET000015,Warning,Medium,Ventilator has been shut down.
EVT000266,2025-07-01 14:35:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
EVT000267,2025-07-01 14:55:00,ASSET000015,Warning,Low,Ventilator is undergoing scheduled maintenance.
